,,,,,,,,,,,,,,,,,,,,,,,,
"Servicios","Monto Total","Monto Unitario",,,,,,,,,,,,,,,,,,,,,,
"Agua","16245","1624.5",,,,,,,,,,,,,,,,,,,,,,
"Luz","55405","6156.11111111111",,,,,,,,,,,,,,,,,,,,,,
"Teléfono","2725","302.777777777778",,,,,,,,,,,,,,,,,,,,,,
"Celular","4050","450",,,,,,,,,,,,,,,,,,,,,,,,,
"Internet","14000","1555.55555555556",,,,,,,,,,,,,,,,,,,,,,,,,
"Alquiler","332500","36944.4444444444",,,,,,,,,,,,,,,,,,,,,,,,,
"Aseo","18000","2000",,,,,,,,,,,,,,,,,,,,,,,,,
"Cable","10000","1111.11111111111",,,,"T. total en min:","188",,,,,,,,,,,,,,,,,,,,
"Asociación","0","0","CELL","TEL",,"monto","5641",,,,,,,,,,,,,,,,,,,,
"Emma","0",,"0","0",,"TELEFONO",,,,,,,,,,,,,,,,,,,,,
"Javier","0",,"0","0",,"tiempo","total",,,,,,,,,,,,,,,,,,,,
"Chepe","876",,"876","0",,"45","1350.23936170213",,,,,,,,,,,,,,,,,,,,
"Nathanael","0",,"0","0",,"Entre Todos CEL:","4667",,,,,,,,,,,,,,,,,,,,
"Guillermo","0","1072","0","0",,"Entre Todos TEL:","5543",,,,,,,,,,,,,,,,,,,,
"Bryan","98",,"0","98",,,,,,,,,,,,,,,,,,,,,,,
"Diego","98",,"98","0",,,,,,,,,,,,,,,,,,,,,,,
"Mike","0",,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"JuanPi","0",,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"Otra choza","1624.5","total:","974","98",,,,,,,,,,,,,,,,,,,,,,,
"1624.5",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE","AGUA","LUZ","TELEFONO","CELULAR","INTERNET","ALQUILER","ASEO","MULTAS","MORA","CABLE","SUB-TOTAL","ASOCIASIÓN","TOTAL*","TOTAL","ABONO","SALDO","SALDO",,,,,,,,,,
"Emma","1624.5","6156.11111111111","302.777777777778","450","1555.55555555556","36944.4444444444","2000","0","-815","1111.11111111111","49329.5","0","49329.5","49330","56245","-6915.5","-6915",,,,,,,,,,
"Javier","1624.5","6156.11111111111","302.777777777778","450","1555.55555555556","36944.4444444444","2000","0","400","1111.11111111111","50544.5","0","50544.5","50545","46000","4544.5","4545",,,,,,,,,,
"Chepe","1624.5","6156.11111111111","302.777777777778","1326","1555.55555555556","36944.4444444444","2000","0","-65","1111.11111111111","50955.5","0","50955.5","50955","51000","-44.5","-45",,,,,,,,,,
"Guillermo","1624.5","6156.11111111111","302.777777777778","450","1555.55555555556","36944.4444444444","2000","3000","510","1111.11111111111","53654.5","0","53654.5","53655","0","53654.5","53655",,,,,,,,,,
"Bryan","1624.5","6156.11111111111","302.777777777778","548","1555.55555555556","36944.4444444444","2000","0","115","1111.11111111111","50357.5","0","50357.5","50360","0","50357.5","50360",,,,,,,,,,
"JuanPi","1624.5","6156.11111111111","302.777777777778","450","1555.55555555556","36944.4444444444","2000","0","3790","1111.11111111111","53934.5","0","53934.5","53935","55000","-1065.5","-1065",,,,,,,,,,
"Mike","1624.5","6156.11111111111","302.777777777778","450","1555.55555555556","36944.4444444444","2000","0","880","1111.11111111111","51024.5","0","51024.5","51025","45000","6024.5","6025",,,,,,,,,,
"Tavo","1624.5","0","0","0","0","0","0","0","1670","0","3294.5","0","3294.5","3295","5000","-1705.5","-1705",,,,,,,,,,
"Nathanael","1624.5","6156.11111111111","302.777777777778","450","1555.55555555556","36944.4444444444","2000","0","5020","1111.11111111111","55164.5","0","55164.5","55165","0","55164.5","55165",,,,,,,,,,
"Diego","1624.5","6156.11111111111","302.777777777778","548","1555.55555555556","36944.4444444444","2000","0","75","1111.11111111111","50317.5","0","50317.5","50320","51000","-682.5","-685",,,,,,,,,,
,,,,,,,,,,,,"TOTAL","468577","468575","258245","159332","159330",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,"6156.11111111111"

